Filename,Predicted_Label
pic289.pgm,26
pic319.pgm,13
pic261.pgm,17
pic46.pgm,14
pic374.pgm,13
pic141.pgm,18
pic178.pgm,23
pic331.pgm,11
pic191.pgm,3
pic166.pgm,15
pic312.pgm,8
pic243.pgm,27
pic365.pgm,7
pic78.pgm,24
pic12.pgm,4
pic279.pgm,12
pic68.pgm,19
pic5.pgm,12
pic90.pgm,21
pic340.pgm,16
pic113.pgm,25
pic86.pgm,24
pic205.pgm,26
pic134.pgm,6
pic198.pgm,7
pic278.pgm,10
pic344.pgm,22
pic91.pgm,22
pic240.pgm,21
pic372.pgm,16
pic58.pgm,7
pic101.pgm,19
pic345.pgm,6
pic199.pgm,10
pic1.pgm,24
pic115.pgm,10
pic335.pgm,13
pic219.pgm,16
pic270.pgm,24
pic298.pgm,10
pic209.pgm,9
pic373.pgm,25
pic30.pgm,20
pic200.pgm,20
pic203.pgm,2
pic21.pgm,12
pic27.pgm,5
pic108.pgm,25
pic145.pgm,22
pic216.pgm,6
pic41.pgm,21
pic121.pgm,19
pic181.pgm,6
pic196.pgm,15
pic8.pgm,25
pic80.pgm,16
pic256.pgm,12
pic339.pgm,9
pic241.pgm,24
pic136.pgm,5
pic60.pgm,21
pic230.pgm,4
pic301.pgm,24
pic277.pgm,13
pic173.pgm,23
pic247.pgm,6
pic56.pgm,14
pic308.pgm,19
pic172.pgm,7
pic367.pgm,6
pic248.pgm,5
pic225.pgm,27
pic245.pgm,16
pic377.pgm,17
pic255.pgm,10
pic70.pgm,21
pic170.pgm,13
pic72.pgm,17
pic97.pgm,6
pic352.pgm,8
pic95.pgm,16
pic257.pgm,26
pic363.pgm,3
pic293.pgm,20
pic231.pgm,9
pic251.pgm,21
pic154.pgm,24
pic297.pgm,2
pic299.pgm,22
pic322.pgm,21
pic117.pgm,7
pic161.pgm,22
pic47.pgm,9
pic309.pgm,12
pic3.pgm,21
pic149.pgm,26
pic106.pgm,8
pic343.pgm,9
pic94.pgm,8
